name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
3-Hydroxy-2-naphthalide (Naphthol AS),92-77-3,xylene,,,,
"5-Hydroxy-1,4-naphthoquinone (Juglone)",481-39-0,petroleum_ether,,,,
2-Hydroxy-5-nitrobenzyl bromide (Koshland’s reagent),772-33-8,petroleum_ether,,,,
2-Hydroxyphenylacetic acid,614-75-5,diethyl_ether,,,,
3-Hydroxyphenylacetic acid,621-37-4,petroleum_ether/ethyl_acetate/cyclohexane,,,,
R(+)-2-Hydroxy-3-phenylpropionic acid (3-phenyl lactic acid),7326-19-4,chloroform,,,,
3-p-Hydroxyphenylpropionic acid (phloretic acid),501-97-3,diethyl_ether/water,,,,
4-Hydroxyphenylpyruvic acid,156-39-8,diethyl_ether,,,,
6-Hydroxy-1-tetralone,3470-50-6,water/water,ethanol,,,
9-Hydroxytriptycene,73597-16-7,petroleum_ether,,,,
"1,3-Indandione",606-23-5,ethanol,,,,
Indene,95-13-6,petroleum_ether,ethanol,,,
4-Iodobiphenyl,1591-31-7,ethanol,,,,
"1-Iodo-2,4-dinitrobenzene",709-49-9,ethyl_acetate,,,,
1-Iodo-4-nitrobenzene,636-98-6,ethanol,,,,
2-Iodophenol,533-58-4,chloroform,,,,
4-Iodophenol,540-38-5,petroleum_ether,,,,
2-Iodosobenzoic acid,304-91-6,ethanol,,,,
Isovanillin (3-hydroxy-4-methoxybenzaldehyde),621-59-0,water,,,,
"Ketone moschus (4-tert-butyl-2,6-dimethyl-3,5-dinitroacetophenone, Musk ketone)",81-14-1,methanol,,,,
Leucomalachite Green C23H26N2,129-73-7,ethanol/water,ethanol,petroleum_ether,,
Malachite Green (carbinol),510-13-4,ethanol,petroleum_ether,,,
RS-(±)-Mandelic acid,61-72-3,chloroform,,,,
"Mesitylene (1,3,5-trimethylbenzene)",108-67-8,chloroform,,,,
4’-Methoxyacetophenone,100-06-1,petroleum_ether,,,,
4-Methoxyazobenzene,2396-60-3,ethanol,,,,
4-Methoxybenzoic acid (p-anisic acid),100-09-4,ethanol,,,,
6-Methoxy-1-indanone,13623-25-1,methanol,,,,
1-Methoxy-4-nitronaphthalene,4900-63-4,methanol/ethanol,,,,
2-Methoxyphenylacetic acid,93-25-4,water,,,,
3-Methoxyphenylacetic acid,1798-09-0,water,,,,
N-(p-Methoxyphenyl)-p-phenylenediamine,101-64-4,petroleum_ether/petroleum_ether,,,,
N-Methylacetanilide,579-10-2,acetone,,,,
4-Methylacetophenone,122-00-9,methanol,,,,
1-Methylaminoanthraquinone,82-38-2,ethanol,,,,
3-(Methylamino)benzoic acid,51524-84-6,water,,,,
"4-Methylaminophenol hemisulfate (Photol, Metol)",55-55-0,water/methanol,,,,
N-Methylaniline,100-61-8,chloroform,,,,
Methyl p-anisate,121-98-2,ethanol,,,,
2-Methylanthraquinone,84-54-8,ethanol,,,,
4-Methylbenzophenone,134-84-9,methanol,,,,
"Methyl-1,4-benzoquinone (p-toluoquinone)",553-97-9,ethanol,,,,
Methyl 4-bromobenzoate,619-42-1,methanol,,,,
"Methyl 2,4-dichlorophenoxyacetate",1928-38-7,methanol,,,,
Methyl gallate,99-24-1,methanol,,,,
Methyl 4-hydroxybenzoate (methyl paraben),99-76-3,methanol,,,,
1-Methylnaphthalene,90-12-0,methanol,,,,
6-Methyl-2-naphthol,17579-79-2,ethanol/petroleum_ether,,,,
7-Methyl-2-naphthol,26593-50-0,ethanol/petroleum_ether,,,,
"Methyl 2-naphthyl ether (2-methoxynaphthalene, Nerolin)",93-04-9,ethanol,,,,
2-Methyl-3-nitroaniline,603-83-8,ethanol,,,,
2-Methyl-4-nitroaniline,99-52-5,ethanol,,,,
2-Methyl-3-nitroanisole,4837-88-1,methanol,,,,
Methyl 3-nitrobenzoate,618-95-1,methanol,,,,
Methyl 4-nitrobenzoate,619-50-1,ethanol,,,,
3-Methyl-2-nitrobenzoic acid,5437-38-7,ethanol,water,,,
4-Methyl-3-nitrobenzoic acid (3-nitro-p-toluic acid),96-98-0,ethanol,methanol,,,
N-Methyl-4-nitrosoaniline,10595-51-4,methanol,,,,
N-Methylphthalimide,550-44-7,acetic_acid,,,,
Naphthalene,91-20-3,ethanol,cyclohexane,,,
"1,8-Naphthalic acid (naphthalene-1,8-dicarboxylic acid)",518-05-8,ethanol,,,,
2-Naphthamide (2-naphthoic acid amide),2243-82-5,ethanol,,,,
"Naphthazarin (5,8-dihydroxy-1,4-naphthoquinone)",475-38-7,hexane,ethanol/dioxane,chloroform,,
1-Naphthoic acid,86-55-5,toluene,,,,
2-Naphthoic acid,93-09-4,ethanol/water,,,,
1−Naphthol,90-15-3,water,,,,
Naphthol AS-D (3-hydroxy-2-naphthoic-o-toluide),135-61-5,xylene,,,,
1-Naphthol-2-carboxylic acid (1-hydroxy-2-naphthoic acid),86-48-6,ethanol,,,,
"1,2-Naphthaquinone (o- , β-naphthoquinone)",524-42-5,diethyl_ether,ethanol,,,
"1,4-Naphthaquinone (p-naphthoquinone, α-naphthoquinone)",130-15-4,ethanol,,,,
"1,5-Naphthaquinone (1,5-naphthoquinone)",51583-62-1,methanol,,,,
"2,3-Naphthaquinone (2,3-naphthoquinone)",4939-92-8,cyclohexane,,,,
"2,6-Naphthaquinone (amphi-naphthaquinone, 2,6-naphthoquinone)",613-20-7,petroleum_ether,,,,
β-Naphthoxyacetic acid (BNOA),120-23-0,ethanol,,,,
"β-Naphthoyltrifluoroacetone (4,4,4-trifluoro-2-naphthylbutan-1,3-dione)",893-33-4,water,ethanol,,,
2-Naphthyl acetate,1523-11-1,petroleum_ether,,,,
1-Naphthylacetic acid (NAA),86-87-3,ethanol,,,,
1-Naphthylamine,134-32-7,petroleum_ether,,,,
1-Naphthyl isocyanate,86-84-0,petroleum_ether,,,,
2-(2-Naphthyloxy)ethanol,93-20-9,petroleum_ether,,,,
N-1-Naphthylphthalamic acid (Naptalam),132-66-1,ethanol,,,,
2-Naphthyl salicylate (Betol),613-78-5,ethanol,,,,
1-Naphthyl urea,6950-84-1,ethanol,,,,
2-Naphthyl urea,13114-62-0,ethanol,,,,
Neostigmine methyl sulfate (Prostigmine B),51-60-5,ethanol/acetone,,,,
3-Nitroacetophenone,121-89-1,ethanol,,,,
4-Nitroacetophenone,100-19-6,ethanol,,,,
"3-Nitroalizarin (1,2-dihydroxy-3-nitro-9,10-anthraquinone, Alizarin Orange)",568-93-4,acetic_acid,,,,
2-Nitroaniline,88-74-4,water,,,,
4-Nitroaniline,100-01-6,acetone,,,,
4-Nitroanisole (4-methoxynitrobenzene),100-17-4,petroleum_ether/hexane,,,,
9-Nitroanthracene,602-60-8,ethanol/methanol,,,,
4-Nitrobenzene-azo-resorcinol (magneson-I),74-39-5,ethanol,,,,
4-Nitrobenzhydrazide (4-Nitrobenzoic hydrazide),636-97-5,ethanol/ethyl_acetate,,,,
2-Nitrobenzoic acid,552-16-9,ethanol/water,water,,,
3-Nitrobenzoic acid,121-92-6,water,,,,
4-Nitrobenzoic acid,62-23-7,water,acetone,,,
4-Nitrobenzyl alcohol,619-73-8,ethanol,,,,
4-Nitrobenzyl bromide,100-11-8,cyclohexane/hexane,,,,
3-Nitrobenzyl chloride,619-23-8,petroleum_ether,carbon_tetrachloride,,,
4-Nitrobenzyl cyanide,555-21-5,ethanol,,,,
2-Nitrobiphenyl,86-00-0,ethanol/petroleum_ether,,,,
trans-3-Nitrocinnamic acid,555-68-0,ethanol,,,,
trans-4-Nitrocinnamic acid,882-06-4,water,,,,
4-Nitrodiphenylamine,836-30-6,ethanol,,,,
3-Nitrofluoranthene,892-21-7,acetic_acid,,,,
"Nitromesitylene (2-nitro-1,3,5-trimethylbenzene)",603-71-4,ethanol,,,,
Nitromethylphenylsulfone,21272-85-5,chloroform,,,,
1-Nitronaphthalene,86-57-7,ethanol,,,,
1-Nitro-2-naphthol,550-60-7,petroleum_ether,ethanol,,,
2-Nitrophenol,88-75-5,ethanol,,,,
2-Nitrophenylacetic acid,3740-52-1,ethanol,,,,
4-Nitrophenylacetic acid,104-03-0,ethanol,,,,
4-Nitrophenylhydrazine,100-16-3,ethanol,,,,
3-Nitrophenyl isocyanate,3320-87-4,petroleum_ether/toluene/petroleum_ether,,,,
4-Nitrophenyl isocyanate,100-28-7,petroleum_ether,,,,
4-Nitrophenyl trifluoroacetate,658-78-6,chloroform,,,,
4-Nitrophenyl urea,556-10-5,ethanol,,,,
4-Nitrophthalic acid,610-27-5,diethyl_ether,,,,
3-Nitrophthalic anhydride,641-70-3,diethyl_ether/petroleum_ether,,,,
5-Nitro-2-n-propoxyaniline,553-79-7,petroleum_ether/water,,,,
4-Nitrosalicylic acid,619-19-2,water,acetone,,,
2-Nitroso-1-naphthol,132-53-6,water,petroleum_ether,,,
4-Nitrosophenol (benzoquinone mono oxime),104-91-6,xylene,,,,
trans-β-Nitrostyrene,5153-67-3,petroleum_ether,,,,
4-Nitrostyrene,100-13-0,ethanol,chloroform/hexane,methanol,,
4-Nitrotoluene,99-99-0,ethanol,,,,
5-Nitrovanillin (nitroveratric aldehyde),6635-20-7,ethyl_acetate/acetic_acid,acetic_acid,ethanol,,
"1,2,3,4,6,7,8-Octahydroanthracene",1079-71-6,ethanol,,,,
"Orcine moohydrate (orcinol hydrate, 3,5-dihydroxytoluene)",6153-39-5,chloroform,,,,
"Pargyline hydrochloride (Eutonyl, N-methyl-n-propargylbenzylamine hydrochloride)",306-07-0,ethanol/diethyl_ether,,,,
Pentabromophenol,608-71-9,toluene,,,,
Pentachloronitrobenzene (Quintozene),82-68-8,ethanol,,,,
Pentachlorophenol,87-86-5,toluene/ethanol,,,,
"2,3,4,5,6-Pentafluorobenzoic acid",602-94-8,petroleum_ether,,,,
"2,3,4,5,6-Pentafluorophenol",771-61-9,acetone,,,,
Perylene,198-55-0,ethanol,,,,
Phenanthrene,85-01-8,acetic_acid,ethanol,ethanol/ethanol,,
Phenanthrene-9-aldehyde,4707-71-5,ethanol,,,,
"9,10-Phenanthrenequinone",84-11-7,dioxane/ethanol/water,,,,
(±)-N-1-Phenethyl urea (N-α-phenethyl urea),60295-51-4,water,,,,
(+)-R-N-1-Phenethyl urea (R-N-α-phenethyl urea),16849-91-5,water/ethanol,,,,
(-)-S-N-1-Phenethyl urea (S-N-α-phenethyl urea),25144-64-3,water/ethanol,,,,
N-2-Phenethyl urea,2158-04-5,water/ethanol,,,,
Phenol (carbolic acid),108-95-2,ethanol/water,water,,,
4-Phenoxybutyric acid,6303-58-8,petroleum_ether,water,,,
Phensuximide (N-methyl-2-phenylsuccinimide),86-34-0,ethanol/water,,,,
Phenylacetic acid,103-82-2,petroleum_ether,,,,
4'-Phenylacetophenone (4-acetylbiphenyl),92-91-1,ethanol/acetone,,,,
4-Phenylanisole (4-methoxybiphenyl),361-37-6,petroleum_ether,,,,
9-Phenylanthracene,602-55-1,acetic_acid/toluene,,,,
4-Phenylazobenzoyl chloride,104-24-5,petroleum_ether,,,,
4-Phenylazo-1-naphthylamine,131-22-6,cyclohexane,,,,
4-Phenylazophenol (4-hydroxyazobenzene),1689-82-3,ethanol/water,,,,
Phenyl benzenethiosulfonate (diphenyldisulfoxide),1212-08-4,ethanol/methanol,,,,
2-Phenyl benzoate,93-99-2,ethanol,,,,
2-Phenylbutyramide,90-26-6,water,,,,
4-Phenylbutyric acid,1821-12-1,petroleum_ether,,,,
Phenyl cinnamate,2757-04-2,ethanol,,,,
o-Phenylenediamine,95-54-5,toluene,,,,
m-Phenylenediamine,108-45-2,ethanol,,,,
p-Phenylenediamine,106-50-3,ethanol,,,,
Phenyl ether (diphenyl ether),101-84-8,ethanol/water,,,,
(±)-p-α-Phenylethylphenol,1988-89-2,petroleum_ether,,,,
5-(α-Phenylethyl)semioxamazide,93-95-8,ethanol,,,,
Phenylhydrazine,100-63-0,petroleum_ether,,,,
Phenylhydrazine hydrochloride,59-88-1,ethanol/water,water,,,
"2-Phenyl-1,3-indandione",83-12-5,ethanol/chloroform,,,,
2-Phenylnaphthalene,612-94-2,methanol/ethanol,ethanol,,,
N-Phenyl-1-naphthylamine,90-30-2,ethanol,,,,
N-Phenyl-2-naphthylamine,135-88-6,ethanol,,,,
4-Phenylphenacyl bromide,135-73-9,ethanol,,,,
RS-2-Phenylpropionic acid,492-37-5,petroleum_ether,,,,
Phenylurea,64-10-8,ethyl_acetate,,,,
"Phloroacetophenone (2H2O) (2',4',6'-trihydroxyacetophenone)",480-66-0,water,,,,
Phthalic anhydride,85-44-9,chloroform,,,,
Phthalimide,85-41-6,ethanol,,,,
"Phthalonitrile (1,2-dicyanobenzene)",91-15-6,ethanol,,,,
Phthalylsulfacetamide,131-69-1,water,,,,
"Phthiocol (2-hydroxy-3-methylnaphtha-1,4-quinone)",483-55-6,petroleum_ether,,,,
Picric acid,88-89-1,acetic_acid,,,,
"Picryl chloride (2-chloro-1,3,7-trinitrobenzene)",88-88-0,chloroform/ethanol,,,,
Piperonal,120-57-0,water/ethanol,,,,
Piperonylic acid,94-53-1,ethanol,,,,
Polystyrene (PS),9003-53-6,chloroform,,,,
"1S,2S-Pseudoephedrine hydrochloride",345-78-8,ethanol,,,,
p-Quaterphenyl,135-70-6,dimethyl_sulfoxide,,,,
"Quinalizarin (1,2,5,8-tetrahydroxy-9,10-anthraquinone)",81-61-8,acetic_acid,,,,
Quinhydrone (1:1 complex of hydroquinone and benzoquinone),106-34-3,water,,,,
Retene (1-methyl-7-isopropylphenanthrene),483-65-8,ethanol,,,,
Salicylaldehyde (o-hydroxybenzaldehyde),90-02-8,petroleum_ether,,,,
Salicylamide,65-45-2,water,,,,
Salicylhydroxamic acid,89-73-6,acetic_acid,,,,
"trans-Stilbene (E-1,2-diphenylethylene)",103-30-0,ethanol,,,,
"(±)-Styrene glycol (±-1-phenyl-1,2-ethanediol)",93-56-1,petroleum_ether,,,,
"Syringaldehyde (3,5-dimethoxy-4-hydroxybenzaldehyde)",134-96-3,petroleum_ether,,,,
"Syringic acid (3,5-dimethoxy-4-hydroxybenzoic acid)",530-57-4,water,,,,
"o-Terphenyl (1,2-diphenylbenzene)",84-15-1,petroleum_ether/petroleum_ether,ethanol,,,
"2,3,4,5-Tetrachloroaniline",634-83-3,ethanol,,,,
"2,3,5,6-Tetrachloroaniline",3481-20-7,ethanol,,,,
"1,2,3,4-Tetrachlorobenzene",634-66-2,ethanol,,,,
"1,2,3,5-Tetrachlorobenzene",634-90-2,ethanol,,,,
"1,2,4,5-Tetrachlorobenzene",95-94-3,ethanol,,,,
"3,4,5,6-Tetrachloro-1,2-benzoquinone (o-chloranil)",2435-53-2,acetic_acid,,,,
"2,3,4,5-Tetrachlorophenol",4901-51-3,petroleum_ether,,,,
Tetrachlorophthalic anhydride,117-08-8,chloroform,acetic_acid,,,
"1,2,4,5-Tetracyanobenzene",712-74-3,ethanol,,,,
"7,7,8,8-Tetracyanoquinodimethane (TCNQ)",1518-16-7,ethyl_acetate,,,,
Tetralin hydroperoxide,771-29-9,hexane,,,,
"1,2,4,5-tetramethylbenzene (durene)",95-93-2,xylene,,,,
"N,N,N',N'-Tetramethylbenzidine",366-29-0,ethanol/petroleum_ether,petroleum_ether,,,
"N,N,N',N'-Tetramethyl-1,4-phenylenediamine (TMPD, Wurster’s blue)",100-22-1,petroleum_ether,,,,
Tetra(4-nitrophenyl)ethylene,47797-98-8,dioxane,,,,
Tetraphenylhydrazine,632-52-0,toluene,,,,
"trans-1,1,4,4-Tetraphenyl-2-methylbutadiene",20411-57-8,ethanol/acetic_acid,,,,
"1,2,3,4-Tetraphenylnaphthalene",751-38-2,methanol/ethanol,,,,
"o-Tolidine (3,3'-dimethylbenzidine)",119-93-7,petroleum_ether,,,,
4-Tolyl-2-benzoic acid (4'-methylbiphenyl-2-carboxylic acid),7148-03-0,toluene,,,,
p-Tolyl urea,622-51-5,water,,,,
Tribenzylamine,620-40-6,petroleum_ether,,,,
"2,4,6-Tribromoaniline",147-82-0,methanol,ethanol,,,
"2,4,6-Tribromophenol",118-79-6,ethanol/petroleum_ether,,,,
"sym-Tri-tert-butylbenzene (1,3,5-tri-tert-butylbenzene)",1460-02-2,ethanol,,,,
"2’,2’,2’-Trichloroacetanilide",2563-97-5,ethanol,,,,
"2,3,4-Trichloroaniline",634-67-3,petroleum_ether,ethanol,,,
"2,4,5-Trichloroaniline",636-30-6,petroleum_ether,,,,
"2,4,6-Trichloroaniline",634-93-5,petroleum_ether,,,,
"1,2,3-Trichlorobenzene",87-61-6,ethanol,,,,
"1,2,4-Trichlorobenzene",120-82-1,toluene,,,,
"3,4,5-Trichloro-o-cresol (3,4,5-trichloro-2-methylphenol)",608-92-4,petroleum_ether,,,,
"2,3,5-Trichloro-p-cresol (2,3,5-trichloro-4-methylphenol)",608-91-3,petroleum_ether,,,,
"2,4,5-Trichloro-1-nitrobenzene (1,2,4-trichloro-5-nitrobenzene)",89-69-0,ethanol,,,,
"2,4,5-Trichlorophenol",95-95-4,ethanol/petroleum_ether,,,,
"3,4,5-Trichlorophenol",609-19-8,petroleum_ether,,,,
"3,4,5-Triiodobenzyl chloride",52273-54-8,carbon_tetrachloride/petroleum_ether,,,,
"Trimellitic (benzene-1,2,4-tricarboxylic) acid",528-44-9,acetic_acid,,,,
"3,4,5-Trimethoxyphenol (Antiarol)",642-71-7,ethanol,,,,
"3,4,5-Trimethylphenol",527-54-8,petroleum_ether,,,,
"2,4,6-Trinitroanisole",606-35-9,ethanol/methanol,,,,
"2,4,6-Trinitro-m-cresol",602-99-3,water,,,,
"2,4,6-Trinitrotoluene (TNT)",118-96-7,ethanol/water,ethanol,,,
Triphenylamine,603-34-9,ethanol,,,,
"1,3,5-Triphenylbenzene",612-71-5,ethanol,,,,
"Triphenylene (9,10-benzophenanthrene)",217-59-4,ethanol/chloroform,,,,
"1,2,3-Triphenylguanidine",101-01-9,ethanol/ethanol,,,,
Triphenylmethane,519-73-3,ethanol,,,,
Triphenylmethanol (triphenylcarbinol),76-84-6,ethanol,,,,
"Tropolone (2-hydroxycyclohepta-2,4.6-trien-1-one)",533-75-5,hexane/petroleum_ether,,,,
3-Acetylindole,703-80-0,ethanol,methanol,,,
1-Acetylpiperazine,13889-98-0,water/diethyl_ether,ethanol/ethyl_acetate,,,
"3-Acetylthiophene (methyl 3-thienyl ketone, acetothienone)",1468-83-3,chloroform,ethanol,petroleum_ether/ethanol,,
Aconitine,302-27-2,ethanol,,,,
"Acridine (2,3-benzoquinoline)",260-94-6,cyclohexane,,,,
"Acridone (9,10-dihydro -9-oxoacridine, 9-hydroxyacridine)",578-95-0,acetic_acid,ethanol,,,
"Acriflavin Mixture (Euflavin, Proflavin, 3,6-diamino-10-methylacridinium chloride + 3,6-diaminoacridine)",8048-52-0,methanol,water,,,
"Adrenochrome (3-hydroxy-1-methyl-5,6-indoline-dione)",54-06-8,methanol,water,ethanol,,
"Aetioporphyrin I (Etioporphyrin, I 2,4,6,8-tetraethyl-1,3,5,7-tetramethylporphyrin)",448-71-5,methanol,acetic_acid,,,
Agroclavin,548-42-5,acetone,water,,,
Alloxan monohydrate,2244-11-3,acetic_acid,,,,
"Alloxazine (6,7-benzopteridin-2,4(1H,3H)-dione)",490-50-5,water,,,,
5-Allyl-5-isobutylbarbituric acid (Butalbital),77-26-9,water/ethanol,,,,
"9-Aminoacridine (9-acridineamine, Aminacrine)",90-45-9,ethanol/acetone,,,,
2-Amino-4-anilino-s-triazine (Amanozine),537-17-7,dioxane/water,,,,
"4-Aminoantipyrine (Ampyrone, 4-amino-2,3-dimethyl-1-phenylpyrazol-5-one)",83-07-8,ethanol/ethanol/diethyl_ether,,,,
2-Aminobenzothiazole,136-95-8,water,,,,
6-Aminobenzothiazole,533-30-2,acetone,,,,
4-Amino-1-benzylpiperidine,50541-93-0,methanol/ethyl_acetate/ethanol,,,,
2-Amino-4-chloro-6-methylpyrimidine,5600-21-5,ethanol,,,,
2-Amino-5-chloropyridine,1072-98-6,petroleum_ether,,,,
2-Amino-4-chloropyrimidine,3993-78-0,water,,,,
"2-Amino-3,5-dibromopyridine",35486-42-1,petroleum_ether,,,,
"2-Amino-4,6-dimethylpyridine (6-amino-2,4-lutidine)",5407-87-4,ethanol,hexane,,,
4-Aminoimidazole-5-carboxamide hydrochloride (AICAR HCl),72-40-2,ethanol,,,,
6-Aminoindazole,6967-12-0,water/ethanol,,,,
2-Amino-3-iodopyridine,104830-06-0,hexane,,,,
2-Amino-4-iodopyridine,552331-00-7,water,,,,
2-Amino-5-iodopyridine,20511-12-0,ethanol/acetone,,,,
5-Amino-2-iodopyridine,29958-12-1,ethanol,,,,
"3-Amino-5-mercapto-1,2,4-triazole",16691-43-3,ethanol,water,,,
2-Amino-4-methoxy-6-methylpyrimidine,7749-47-5,water,,,,
7-Amino-4-methylcoumarin (Coumarin 120),26093-31-2,ethanol,,,,
2-Amino-4-methylpyridine (2-amino-4-picoline),695-34-1,ethanol,,,,
2-Amino-5-methylpyridine (6-amino-3-picoline),1603-41-4,acetone,,,,
2-Amino-6-methylpyridine (6-amino-2-picoline),1824-81-3,acetone,,,,
2-Amino-4-methylpyrimidine,108-52-1,ethanol,water/ethanol,,,
4-Amino-2-methylquinoline (4-aminoquinaldine),6628-04-2,petroleum_ether,,,,
2-Aminoperimidine,28832-64-6,ethanol/water,,,,
2-Aminopyridine,504-29-0,petroleum_ether/chloroform/petroleum_ether,,,,
4-Aminopyridine,504-24-5,ethanol,,,,
Aminopyrine (4-dimethylaminoantipyrene),58-15-1,petroleum_ether,,,,
5-Aminoquinoline,611-34-7,ethanol,,,,
6-Aminoquinoline,580-15-4,petroleum_ether,,,,
8-Aminoquinoline,578-66-5,ethanol,,,,
"2-Amino-5-sulfanilylthiazole (thiazolsulfone, Promizole)",473-30-3,ethanol,,,,
2-Aminothiazole,96-50-4,petroleum_ether,,,,
"2-Amino-5-thiazoleacetic acid ethyl ester (2-amino-5-ethoxycarbonylmethyl-1,4-thazole)",62557-32-8,petroleum_ether/chloroform,ethanol,,,
"3-Amino-1,2,4-triazole (3-AT, Amitrol)",61-82-5,ethanol,,,,
"4-Amino-1,2,4(4H)-triazole",584-13-4,ethanol/diethyl_ether/water,ethanol,isopropanol,,
"Antipyrine (2,3-dihydro-1,5-dimethyl-3-oxo-2-phenylpyrazole)",60-80-0,ethanol,,,,
2-Azacyclotridecanone (laurolactam),947-04-6,chloroform,,,,
"Azuleno(1,2-b)thiophene",25043-00-9,cyclohexane,,,,
Azure A (3-amino-7-dimethylaminophenazin-5-ium chloride),531-53-3,water,,,,
Azure B (3-methylamino-7-dimethylaminophenazin-5-ium chloride),531-55-5,water,,,,
"Barbituric acid (6-hydroxypyrimidin-2,4-dione)",67-52-7,water,,,,
2-Benzimidazolylacetonitrile,4414-88-4,water,,,,
"1,2,3-Benzothiadiazole",273-77-8,petroleum_ether,,,,
"2,1,3(1,2,5)-Benzothiadiazole",272-13-2,petroleum_ether,,,,
"1,2,3-Benzotriazole",95-14-7,toluene,,,,
"O-Benzotriazol-1-yl-N,N,N',N'-tetramethyluronium hexafluorophosphate (HBTU)",94790-37-1,acetonitrile,,,,
2-Benzoylpyridine,91-02-1,petroleum_ether,acetone,,,
3-Benzyl-5-(2-hydroxyethyl)-4-methylthiazolinium chloride,4568-71-2,ethanol/water,,,,
5-Benzyloxyindole,1215-59-4,petroleum_ether/petroleum_ether,,,,
Berbamine,478-61-5,petroleum_ether,,,,
Berberine,2086-83-1,petroleum_ether,,,,
Biliverdine,114-25-0,chloroform,toluene,methanol,,
"2,2'-Bipyridyl",366-18-7,hexane,petroleum_ether,ethanol,,
"2,2'-Biquinolyl (Cuproin, α,α'-diquinolyl)",119-91-5,ethanol,,,,
"2,5-Bis(4-aminophenyl)-1,3,4-oxadiazole (BAO)",2425-95-8,ethanol,,,,
"2,5-Bis(2-benzothiazolyl)hydroquinone",33450-09-8,dimethylformamide,,,,
"2,5-Bis(4-biphenylyl)-1,3,4-oxadiazole (BBOD)",2043-06-3,toluene,,,,
"Blue Tetrazolium (BTC, tetrazolium blue chloride)",1871-22-3,ethanol/water,,,,
1-N-Boc-4-piperidone (1-N-tert-butoxycarbonyl-4-piperidone),79099-07-3,petroleum_ether,,,,
Brilliant Cresyl Blue (NN-diethyl-3-imino-8-methyl-3H-phenoxazin-7-amine hydrochloride),4712-70-3,petroleum_ether,,,,
5-Bromocytosine,2240-25-7,water/water,,,,
6-Bromo-5-fluoro-1H-indole,259860-08-7,methanol,,,,
5-Bromoindole,10075-50-0,petroleum_ether/diethyl_ether,diethyl_ether,,,
5-Bromoisatin,87-48-9,ethanol,methanol,,,
6-Bromoisatin,6326-79-0,acetic_acid,,,,
4-(Bromomethyl)-7-methoxycoumarin,35231-44-8,acetic_acid,,,,
"8-Bromotheophylline (bromo-1,3-dimethyl-2,6(1H,3H)-purinedione)",10381-75-6,ethanol/acetic_acid,,,,
5-Bromothiazole,3034-55-7,ethanol,,,,
4-tert-Butylcalix,60705-62-6,carbon_tetrachloride/ethanol,acetic_acid,,,
4-tert-Butylcalix,78092-53-2,chloroform/chloroform,chloroform/methanol,,,
4-tert-Butylcalix,68971-82-4,hexane,,,,
8-sec-Butylmetrazole,25717-83-3,petroleum_ether,,,,
N-(n-Butyl)-5-nitro-2-furamide,14121-89-2,ethanol,,,,
"ε-Caprolactam (azepan-2-one, aza-2-cycloheptanone, 2-oxohexamethyleneimine)",105-60-2,acetone/petroleum_ether,acetone,,,
"Caprylolactam (azanon-2-one, azacyclononan-2-one, 8-aminooctanoic acid lactam, cyclooctanone isooxime)",935-30-8,chloroform/hexane,,,,
Carbazole,86-74-8,ethanol/toluene,,,,
9-Carbazoleacetic acid,524-80-1,ethanol,,,,
Cetylpyridinium chloride (H2O) (hexadecylpyridinium chloride),6004-24-6,methanol/ethanol,,,,
"2-Chloro-4,6-dimethylpyrimidine",4472-44-0,petroleum_ether,,,,
"2-Chloro-3,5-dinitropyridine",2578-45-2,petroleum_ether,,,,
1-(2-Chloroethyl)pyrrolidine hydrochloride,7250-67-1,isopropanol,,,,
5-Chloroindole,17422-32-1,petroleum_ether,,,,
4-(Chloromethyl)pyridine hydrochloride,1822-51-1,ethanol/ethanol,,,,
2-Chloro-1-methylpyridinium iodide,14338-32-0,acetone/ethanol,,,,
6-Chloronicotinic acid,5326-23-8,water,,,,
2-Chloro-5-nitropyridine,4548-45-2,petroleum_ether,,,,
2-Chloroquinoline,612-62-4,ethanol,,,,
4-Chloroquinoline,611-35-8,ethanol/ethyl_acetate,,,,
"8-m Chlorotheophylline290 (8-chloro -1,3-dimethyl-2,6(1H,3H)-purinedione)",85-18-7,water/ethanol,,,,
"5-Chlorouracil (5-chloro-2,4(6)-dihydroxypyrimidine)",1820-81-1,water,,,,
"4-Chromanone (2,3-dihydro-4H-1-benzopyran-4-one)",491-37-2,petroleum_ether,,,,
Cinnoline,253-66-7,petroleum_ether,ethanol,,,
Clioquinol (5-chloro-8-hydroxy-7-iodoquinoline),130-26-7,acetic_acid/xylene,,,,
Conessine,546-06-5,acetone,ethanol/diethyl_ether,,,
Coumalic acid (2-pyrone-5-carboxylic acid),500-05-0,methanol,,,,
Coumarin,91-64-5,ethanol,,,,
18-Crown-6,17455-13-9,acetonitrile,,,,
Cupreine (6'-hydroxycinchonidine),524-63-0,ethanol,methanol,,,
2-Cyanopyridine,100-70-9,cyclohexane,,,,
3-Cyanopyridine,100-54-9,cyclohexane/hexane,,,,
4-Cyanopyridine,100-48-1,cyclohexane,,,,
"Cyanuric chloride (TCT, 2,4,6-trichloro-1,3,5-triazine)",108-77-0,carbon_tetrachloride/petroleum_ether,,,,
1-Cyclohexyl-5-methyl-1H-tetrazole,7707-57-5,water,,,,
