name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
Trichloroacetic acid (TCA),76-03-9,chloroform/cyclohexane,,,,
Tridecanoic acid,638-53-9,acetone,,,,
7-Tridecanone (dihexyl ketone),462-18-0,ethanol,,,,
Tri-n-dodecylamine (Hydrogen ionophore I),102-87-4,ethanol/water,,,,
Tri-n-dodecylammonium nitrate,2305-34-2,acetone,,,,
Tri-n-dodecylammonium perchlorate,5838-82-4,acetone,,,,
Triethanolamine hydrochloride,637-39-8,ethanol,,,,
Triethylamine,121-44-8,ethanol,,,,
Triethylammonium bromide,636-70-4,chloroform/ethanol,,,,
Triethylammonium trichloroacetate,4113-06-8,chloroform,,,,
Triethylenetetramine tetrahydrochloride (TRIEN HCl),4961-10-4,ethanol,,,,
"1,1,1-Trifluoro-2,4-pentanedione (α,α,α-trifluoroacetlyacetone, tfacac or facac)",367-57-7,water,ethanol,,,
Trimethylamine hydrochloride,593-81-7,chloroform,methanol,,,
Trimethylamine hydroiodide,20230-89-1,methanol,,,,
"Trimethylolpropane (1,1,1-tris-hydroxymethylpropane, 2-ethyl-2-hydroxymethyl-1,3-propanediol)",,acetone/diethyl_ether,,,,
Trimethylsulfonium iodide,2181-42-2,ethanol,,,,
Tri-n-octylammonium chloride,1188-95-0,diethyl_ether,,,,
Tris(2-aminoethyl)amine (TREN) C6H18N,4097-89-6,water,,,,
"1,1,1-Tris(hydroxymethyl)ethane (2-hydroxymethyl-2-methyl-1,3-propanediol)",77-85-0,acetone,,,,
"Tris(hydroxymethyl)methylamine (TRIS, tris(hydroxymethyl)aminomethane, Trizma, trometamol)",,ethanol/water,,,,
Tris(hydroxymethyl)methylammonium hydrochloride (TRIS-HCl),1185-53-1,ethanol/water,,,,
"Triuret (1,3-dicarbamoylurea, carbonyldiurea)",556-99-0,water,,,,
Urea (carbamide),57-13-6,methanol/ethanol,ethanol,,,
Urea nitrate,124-47-0,ethanol,,,,
n-Valeramide (pentanamide),626-97-1,ethanol,,,,
Vinyl stearate,111-63-7,acetone,,,,
2-Acetylcyclohexanone,874-23-7,ethanol,,,,
"2-Acetyl-5,5-dimethylcyclohexane-1,3-dione (2-acetyldimedone)",1755-15-3,acetic_acid,ethanol,,,
1-Adamantane acetic acid,4942-47-6,methanol,,,,
1-Adamantane carboxylic acid,828-51-3,cyclohexane,,,,
"1,3-Adamantane dicarboxylic acid",39269-10-8,methanol,,,,
1-Adamantanol (1-hydroxyadamantane),768-95-6,petroleum_ether,methanol,,,
2-Adamantanol (2-hydroxyadamantane),700-57-2,cyclohexane,,,,
N-(1-Adamantyl)acetamide,880-52-4,cyclohexane,,,,
1-Adamantyl bromomethylketone,5122-82-7,methanol,,,,
1-Adamantyl chloroformate,5854-52-4,petroleum_ether,,,,
1-Adamantyl fluoride (1-fluoroadamantane),768-92-3,methanol,petroleum_ether,,,
1-Adamantyl iodide (1-iodoadamantane),768-93-4,methanol,petroleum_ether,,,
1-Adamantyl isothiocyanate,4411-26-1,methanol,,,,
1-Adamantyl methyl ketone,1660-04-4,methanol,acetic_acid/ethanol/ethanol,,,
N-(1-Adamantyl)urea,13072-69-0,ethanol,,,,
"α-Amyrin (Urs-12-en-3β-ol, α-amyrenol, Viminalol)",638-95-9,petroleum_ether,acetone,,,
"ß-Amyrin (Olean-12-en-3β-ol, β-amyrenol)",508-04-3,petroleum_ether/ethanol,petroleum_ether,,,
"1,1'-Azobis(cyclohexane carbonitrile)",2094-98-6,ethanol,,,,
3-Bromoadamantane-1-carboxylic acid,21816-08-0,petroleum_ether,,,,
4-tert-Butyl-1-cyclohexanone,98-53-3,ethanol,,,,
RS-Camphorquinone,10373-78-1,petroleum_ether,,,,
"Cyclobutane-1,1-dicarboxylic acid",5445-51-2,diethyl_ether,,,,
"cis-Cyclobutane-1,2-dicarboxylic acid (meso-isomer)",1461-94-5,water/petroleum_ether,water,,,
(±)-Cyclobutyrol (α-ethyl-1-hydroxycyclohexaneacetic acid),512-16-3,petroleum_ether,methanol,,,
cis-Cyclodecene,935-31-9,methanol,,,,
"cis-Cyclohexane-1,2-dicarboxylic acid (cis-hexahydrophthalic acid)",610-09-3,ethanol/water,,,,
"trans-Cyclohexane-1,2-dicarboxylic anhydride (trans-hexahydrophthalic anhydride)",14166-21-3,diethyl_ether,,,,
"(±)-trans-1,2-Cyclohexanediol",1460-57-7,carbon_tetrachloride/ethyl_acetate,ethyl_acetate,acetone,petroleum_ether,
"cis-1,3-Cyclohexanediol (hexahydroresorcinol)",823-18-7,methanol,,,,
"cis-1,4-Cyclohexanediol (hexahydrohydroquinone)",931-71-5,acetone/acetone,acetone,petroleum_ether,methanol/acetone,
"Cyclohexane-1,2-dione",765-87-7,water,,,,
"Cyclohexane-1,4-dione",637-88-7,chloroform/petroleum_ether/diethyl_ether,methanol,,,
"cis,cis-1,3,5-Cyclohexane tricarboxylic acid",16526-68-4,diethyl_ether,toluene/ethanol/water,,,
Cyclohexanone,108-94-1,ethanol,,,,
Cyclopentanecarboxaldehyde,872-53-7,ethanol,,,,
"1,1-Cyclopentanediacetic acid (3.3-tetramethyleneglutaric acid)",16713-66-9,water,,,,
"Cyclopentane-1,1-dicarboxylic acid",5802-65-3,diethyl_ether,,,,
"1RS,2SR-(meso)-cis-1,2-Cyclopentanedicarboxylic acid",1461-96-7,methanol/diethyl_ether,diethyl_ether,water,,
"1RS,2RS-(±)-trans-1,2-Cyclopentanedicarboxylic acid",1461-97-8,ethanol,water,,,
"1,2-Cyclopentanedione",3008-40-0,water,,,,
Cyclotetradecanone,3603-99-4,ethanol,methanol,,,
1.3-Diaminoadamantane,10303-95-4,ethanol/diethyl_ether,,,,
"trans-1,4-Diaminocyclohexane",2615-25-0,petroleum_ether,,,,
Dicyclohexylamine (Cy2NH2),101-83-7,water/ethanol,,,,
